# Simulation 7 (Data loaded from a file)
# 1287 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (204 ft/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Thrust (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
141.715,1338.865,-14.82,14.82,0
142.215,1331.457,-14.815,14.815,0
142.715,1324.051,-14.809,14.809,0
143.215,1316.647,-14.804,14.804,0
143.715,1309.247,-14.798,14.798,0
144.215,1301.849,-14.793,14.793,0
144.715,1294.454,-14.787,14.787,0
145.215,1287.061,-14.782,14.782,0
145.715,1279.672,-14.777,14.777,0
146.215,1272.285,-14.771,14.771,0
146.715,1264.901,-14.766,14.766,0
147.215,1257.519,-14.76,14.76,0
147.715,1250.14,-14.755,14.755,0
148.215,1242.764,-14.75,14.75,0
148.715,1235.39,-14.744,14.744,0
149.215,1228.02,-14.739,14.739,0
149.715,1220.651,-14.734,14.734,0
150.215,1213.286,-14.728,14.728,0
150.715,1205.923,-14.723,14.723,0
151.215,1198.563,-14.718,14.718,0
151.715,1191.205,-14.712,14.712,0
152.215,1183.851,-14.707,14.707,0
152.715,1176.498,-14.702,14.702,0
153.215,1169.149,-14.697,14.697,0
153.715,1161.802,-14.691,14.691,0
154.215,1154.457,-14.686,14.686,0
154.715,1147.116,-14.681,14.681,0
155.215,1139.777,-14.676,14.676,0
155.715,1132.44,-14.67,14.67,0
156.215,1125.106,-14.665,14.665,0
156.715,1117.775,-14.66,14.66,0
157.215,1110.446,-14.655,14.655,0
157.715,1103.12,-14.65,14.65,0
158.215,1095.797,-14.644,14.644,0
158.715,1088.476,-14.639,14.639,0
159.215,1081.158,-14.634,14.634,0
159.715,1073.842,-14.629,14.629,0
160.215,1066.529,-14.624,14.624,0
160.715,1059.218,-14.619,14.619,0
161.215,1051.91,-14.613,14.613,0
161.715,1044.605,-14.608,14.608,0
162.215,1037.302,-14.603,14.603,0
162.715,1030.002,-14.598,14.598,0
163.215,1022.704,-14.593,14.593,0
163.715,1015.409,-14.588,14.588,0
164.215,1008.116,-14.583,14.583,0
164.715,1000.826,-14.578,14.578,0
165.215,993.538,-14.573,14.573,0
165.715,986.253,-14.568,14.568,0
166.215,978.971,-14.562,14.562,0
166.715,971.691,-14.557,14.557,0
167.215,964.414,-14.552,14.552,0
167.715,957.139,-14.546,14.546,0
168.215,949.867,-14.541,14.541,0
168.715,942.598,-14.536,14.536,0
169.215,935.332,-14.53,14.53,0
169.715,928.068,-14.525,14.525,0
170.215,920.807,-14.52,14.52,0
170.715,913.548,-14.515,14.515,0
171.215,906.292,-14.509,14.509,0
171.715,899.039,-14.504,14.504,0
172.215,891.788,-14.499,14.499,0
172.715,884.54,-14.494,14.494,0
173.215,877.295,-14.488,14.488,0
173.715,870.052,-14.483,14.483,0
174.215,862.812,-14.478,14.478,0
174.715,855.574,-14.473,14.473,0
175.215,848.339,-14.468,14.468,0
175.715,841.106,-14.462,14.462,0
176.215,833.877,-14.457,14.457,0
176.715,826.649,-14.452,14.452,0
177.215,819.424,-14.447,14.447,0
177.715,812.202,-14.442,14.442,0
178.215,804.983,-14.437,14.437,0
178.715,797.766,-14.431,14.431,0
179.215,790.551,-14.426,14.426,0
179.715,783.339,-14.421,14.421,0
180.215,776.13,-14.416,14.416,0
180.715,768.923,-14.411,14.411,0
181.215,761.719,-14.406,14.406,0
181.715,754.517,-14.401,14.401,0
182.215,747.318,-14.396,14.396,0
182.715,740.121,-14.391,14.391,0
183.215,732.927,-14.386,14.386,0
183.715,725.735,-14.381,14.381,0
184.215,718.546,-14.376,14.376,0
184.715,711.36,-14.371,14.371,0
185.215,704.175,-14.366,14.366,0
185.715,696.994,-14.361,14.361,0
186.215,689.815,-14.356,14.356,0
186.715,682.638,-14.351,14.351,0
187.215,675.464,-14.346,14.346,0
187.715,668.292,-14.341,14.341,0
188.215,661.123,-14.336,14.336,0
188.715,653.956,-14.331,14.331,0
189.215,646.792,-14.326,14.326,0
189.715,639.63,-14.321,14.321,0
190.215,632.471,-14.316,14.316,0
190.715,625.314,-14.311,14.311,0
191.215,618.16,-14.306,14.306,0
191.715,611.008,-14.301,14.301,0
192.215,603.858,-14.297,14.297,0
192.715,596.711,-14.292,14.292,0
193.215,589.567,-14.287,14.287,0
193.715,582.424,-14.282,14.282,0
194.215,575.285,-14.277,14.277,0
194.715,568.147,-14.272,14.272,0
195.215,561.012,-14.267,14.267,0
195.715,553.88,-14.263,14.263,0
196.215,546.75,-14.258,14.258,0
196.715,539.622,-14.253,14.253,0
197.215,532.497,-14.248,14.248,0
197.715,525.374,-14.243,14.243,0
198.215,518.253,-14.239,14.239,0
198.715,511.135,-14.234,14.234,0
199.215,504.019,-14.229,14.229,0
199.715,496.906,-14.224,14.224,0
200.215,489.795,-14.219,14.219,0
200.715,482.687,-14.214,14.214,0
201.215,475.581,-14.209,14.209,0
201.715,468.477,-14.204,14.204,0
202.215,461.376,-14.199,14.199,0
202.715,454.278,-14.194,14.194,0
203.215,447.182,-14.189,14.189,0
203.715,440.088,-14.184,14.184,0
204.215,432.997,-14.179,14.179,0
204.715,425.909,-14.174,14.174,0
205.215,418.823,-14.17,14.17,0
205.715,411.739,-14.165,14.165,0
206.215,404.658,-14.16,14.16,0
206.715,397.58,-14.155,14.155,0
207.215,390.504,-14.15,14.15,0
207.715,383.43,-14.145,14.145,0
208.215,376.359,-14.14,14.14,0
208.715,369.29,-14.135,14.135,0
209.215,362.224,-14.13,14.13,0
209.715,355.16,-14.125,14.125,0
210.215,348.099,-14.12,14.12,0
210.715,341.04,-14.115,14.115,0
211.215,333.983,-14.111,14.111,0
211.715,326.929,-14.106,14.106,0
212.215,319.877,-14.101,14.101,0
212.715,312.828,-14.096,14.096,0
213.215,305.781,-14.091,14.091,0
213.715,298.737,-14.086,14.086,0
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=213.716 seconds
214.215,291.695,-14.082,14.082,0
214.223,291.582,-13.582,13.582,0
214.225,291.56,-13.489,13.489,0
214.227,291.535,-13.387,13.387,0
214.229,291.51,-13.285,13.285,0
214.231,291.485,-13.183,13.183,0
214.232,291.459,-13.079,13.079,0
214.235,291.432,-12.975,12.975,0
214.237,291.406,-12.87,12.87,0
214.239,291.378,-12.764,12.764,0
214.241,291.35,-12.657,12.657,0
214.243,291.322,-12.549,12.549,0
214.246,291.293,-12.441,12.441,0
214.248,291.263,-12.332,12.332,0
214.25,291.233,-12.221,12.221,0
214.253,291.202,-12.11,12.11,0
214.256,291.17,-11.998,11.998,0
214.258,291.138,-11.885,11.885,0
214.261,291.105,-11.771,11.771,0
214.264,291.071,-11.655,11.655,0
214.267,291.036,-11.539,11.539,0
214.27,291.001,-11.422,11.422,0
214.273,290.964,-11.303,11.303,0
214.277,290.927,-11.184,11.184,0
214.28,290.889,-11.063,11.063,0
214.284,290.849,-10.941,10.941,0
214.287,290.809,-10.818,10.818,0
214.291,290.767,-10.693,10.693,0
214.295,290.724,-10.567,10.567,0
214.299,290.68,-10.44,10.44,0
214.304,290.634,-10.311,10.311,0
214.308,290.587,-10.181,10.181,0
214.313,290.539,-10.05,10.05,0
214.318,290.488,-9.917,9.917,0
214.324,290.436,-9.782,9.782,0
214.329,290.382,-9.646,9.646,0
214.335,290.326,-9.507,9.507,0
214.341,290.268,-9.368,9.368,0
214.348,290.207,-9.226,9.226,0
214.355,290.143,-9.082,9.082,0
214.362,290.077,-8.937,8.937,0
214.37,290.008,-8.789,8.789,0
214.378,289.935,-8.64,8.64,0
214.387,289.858,-8.488,8.488,0
214.397,289.777,-8.334,8.334,0
214.407,289.692,-8.178,8.178,0
214.418,289.601,-8.019,8.019,0
214.43,289.505,-7.858,7.858,0
214.444,289.402,-7.694,7.694,0
214.458,289.291,-7.528,7.528,0
214.474,289.172,-7.359,7.359,0
214.492,289.042,-7.188,7.188,0
214.512,288.9,-7.014,7.014,0
214.535,288.745,-6.837,6.837,0
214.56,288.571,-6.658,6.658,0
214.59,288.376,-6.477,6.477,0
214.625,288.154,-6.295,6.295,0
214.666,287.896,-6.111,6.111,0
214.717,287.589,-5.928,5.928,0
214.782,287.212,-5.747,5.747,0
214.867,286.73,-5.572,5.572,0
214.988,286.068,-5.411,5.411,0
215.177,285.055,-5.277,5.277,0
215.548,283.112,-5.205,5.205,0
216.048,280.5,-5.242,5.242,0
216.548,277.887,-5.209,5.209,0
217.048,275.276,-5.237,5.237,0
217.548,272.664,-5.211,5.211,0
218.048,270.053,-5.232,5.232,0
218.548,267.442,-5.212,5.212,0
219.048,264.831,-5.229,5.229,0
219.548,262.221,-5.213,5.213,0
220.048,259.611,-5.226,5.226,0
220.548,257.001,-5.213,5.213,0
221.048,254.392,-5.223,5.223,0
221.548,251.783,-5.213,5.213,0
222.048,249.175,-5.22,5.22,0
222.548,246.566,-5.213,5.213,0
223.048,243.959,-5.218,5.218,0
223.548,241.351,-5.212,5.212,0
224.048,238.744,-5.216,5.216,0
224.548,236.137,-5.212,5.212,0
225.048,233.53,-5.215,5.215,0
225.548,230.924,-5.211,5.211,0
226.048,228.318,-5.213,5.213,0
226.548,225.712,-5.21,5.21,0
227.048,223.107,-5.211,5.211,0
227.548,220.502,-5.209,5.209,0
228.048,217.897,-5.21,5.21,0
228.548,215.293,-5.208,5.208,0
229.048,212.689,-5.208,5.208,0
229.548,210.085,-5.207,5.207,0
230.048,207.482,-5.207,5.207,0
230.548,204.879,-5.205,5.205,0
231.048,202.276,-5.205,5.205,0
231.548,199.674,-5.204,5.204,0
232.048,197.071,-5.204,5.204,0
232.548,194.47,-5.203,5.203,0
233.048,191.868,-5.203,5.203,0
233.548,189.267,-5.202,5.202,0
234.048,186.666,-5.201,5.201,0
234.548,184.066,-5.2,5.2,0
235.048,181.466,-5.2,5.2,0
235.548,178.866,-5.199,5.199,0
236.048,176.266,-5.199,5.199,0
236.548,173.667,-5.198,5.198,0
237.048,171.068,-5.197,5.197,0
237.548,168.47,-5.197,5.197,0
238.048,165.872,-5.196,5.196,0
238.548,163.274,-5.195,5.195,0
239.048,160.676,-5.195,5.195,0
239.548,158.079,-5.194,5.194,0
240.048,155.482,-5.194,5.194,0
240.548,152.885,-5.193,5.193,0
241.048,150.289,-5.192,5.192,0
241.548,147.693,-5.192,5.192,0
242.048,145.097,-5.191,5.191,0
242.548,142.502,-5.19,5.19,0
243.048,139.907,-5.19,5.19,0
243.548,137.312,-5.189,5.189,0
244.048,134.718,-5.188,5.188,0
244.548,132.124,-5.188,5.188,0
245.048,129.53,-5.187,5.187,0
245.548,126.937,-5.187,5.187,0
246.048,124.344,-5.186,5.186,0
246.548,121.751,-5.185,5.185,0
247.048,119.158,-5.185,5.185,0
247.548,116.566,-5.184,5.184,0
248.048,113.975,-5.183,5.183,0
248.548,111.383,-5.183,5.183,0
249.048,108.792,-5.182,5.182,0
249.548,106.201,-5.181,5.181,0
250.048,103.61,-5.181,5.181,0
250.548,101.02,-5.18,5.18,0
251.048,98.43,-5.18,5.18,0
251.548,95.841,-5.179,5.179,0
252.048,93.251,-5.178,5.178,0
252.548,90.662,-5.178,5.178,0
253.048,88.074,-5.177,5.177,0
253.548,85.485,-5.176,5.176,0
254.048,82.897,-5.176,5.176,0
254.548,80.309,-5.175,5.175,0
255.048,77.722,-5.175,5.175,0
255.548,75.135,-5.174,5.174,0
256.048,72.548,-5.173,5.173,0
256.548,69.962,-5.173,5.173,0
257.048,67.376,-5.172,5.172,0
257.548,64.79,-5.171,5.171,0
258.048,62.204,-5.171,5.171,0
258.548,59.619,-5.17,5.17,0
259.048,57.034,-5.169,5.169,0
259.548,54.449,-5.169,5.169,0
260.048,51.865,-5.168,5.168,0
260.548,49.281,-5.168,5.168,0
261.048,46.698,-5.167,5.167,0
261.548,44.114,-5.166,5.166,0
262.048,41.531,-5.166,5.166,0
262.548,38.948,-5.165,5.165,0
263.048,36.366,-5.164,5.164,0
263.548,33.784,-5.164,5.164,0
264.048,31.202,-5.163,5.163,0
264.548,28.621,-5.163,5.163,0
265.048,26.04,-5.162,5.162,0
265.548,23.459,-5.161,5.161,0
266.048,20.878,-5.161,5.161,0
266.548,18.298,-5.16,5.16,0
267.048,15.718,-5.16,5.16,0
267.548,13.138,-5.159,5.159,0
268.048,10.559,-5.158,5.158,0
268.548,7.98,-5.158,5.158,0
269.048,5.401,-5.157,5.157,0
269.548,2.823,-5.156,5.156,0
270.048,0.245,-5.156,5.156,0
# Event GROUND_HIT occurred at t=270.096 seconds
# Event SIMULATION_END occurred at t=270.096 seconds
270.096,0,-5.156,5.156,0
